Datetime,Tweet Id,Username,Text,Hashtag,Language
2022-11-25 21:49:48+00:00,1596259887658553349,palomitacremada,@vonderleyen @ZelenskyyUa @EU_Commission We are criminals #EU by setting more fire by sending arms (from our tax money) instead of calming down the things. #usless,"['EU', 'usless']",en
2022-11-25 21:49:47+00:00,1596259882046742528,Mumpey1,"@JamesCleverly @ZelenskyyUa Wow. The replies to this.

Your Ukraine credits are beginning to runneth dry, Tory party.",,en
2022-11-25 21:49:26+00:00,1596259793672568832,Bonczoszek,"@GJohnson_1978 @JamesCleverly @ZelenskyyUa @UKIP Joined September 2022, 12k tweets, all predictable content RUSSIAN TROLL 🧌 ALERT. Go get a job at new Russian McDonalds or emigrate 👍",,en
2022-11-25 21:49:08+00:00,1596259716849893376,Gruff_William,"@PatPanActivist @ZelenskyyUa @vonderleyen Not-Zees love you!
Maybe...",,en
2022-11-25 21:48:55+00:00,1596259664333012992,Intuition412R,@ZelenskyyUa @vonderleyen What is up with FTX???,,en
2022-11-25 21:48:54+00:00,1596259660952178688,etchells_frank,@JamesCleverly @ZelenskyyUa When you say action I presume you mean money. And I presume you mean UK tax payers money. Putin is bleeding the West dry whilst western poodles cuddle up to Ukraine. You are part of one of the biggest scams ever pulled off in history. We need leaders not lap dogs. Move to Ukraine,,en
2022-11-25 21:48:42+00:00,1596259606912983041,cheiro_28,"@BBCWorld @ZelenskyyUa has realised @NATO not in rush to add UKRAINE. Atleast not until Russia is done with it.

@NATO busy in butterfly counting, football, eating MacD, even @BBCNews  doesn't show  war anymore.

Best to meet Putin and call for an Amnesty, its not a surrender or defeat.",,en
2022-11-25 21:48:40+00:00,1596259602332618765,JeannemariaGri1,"@vonderleyen @ZelenskyyUa @EU_Commission Worry about the EU. Boden has,Zelensky's back",,en
2022-11-25 21:48:39+00:00,1596259595122769921,alesi_vito,"@vonderleyen @ZelenskyyUa @EU_Commission Yes, solidarity, condemning but the missiles are dropping on Ukraine. One day in history books the future generation will ask why did everyone leave Ukraine on its own?
Haven’t we yet understood that Russia will not stop until Ukraine total annihilation?",,en
2022-11-25 21:48:32+00:00,1596259567578529798,alexsander1244,"@Neil36599459 @ZelenskyyUa @POTUS 👆👆👆👆👆👆👆👆👆👆👆🚨🚨🚨alarm🚨🚨🚨, here is a Russianbot",,en
2022-11-25 21:48:19+00:00,1596259514373865476,Breizhme,@ZelenskyyUa @vonderleyen Stop the coke before it stops you Nazi 3.0...,,en
2022-11-25 21:48:08+00:00,1596259468110696448,alexsander1244,"@Lazzy102 @stephanegaddis @ZelenskyyUa @POTUS 🚨🚨🚨alarm🚨🚨🚨, here is a Russianbot https://t.co/ODN56Pewsu",,en
2022-11-25 21:47:36+00:00,1596259330462031872,HarrierPower,"@MwauraRobert2 @vonderleyen @ZelenskyyUa @EU_Commission We the EU says a dude from South Africa 🤣🤣🤣🤣🤣,",,en
2022-11-25 21:47:18+00:00,1596259254989905920,Unofficial_SB,@GBNEWS Let's send more money to @ZelenskyyUa for him to launder,,en
2022-11-25 21:47:09+00:00,1596259219346526213,alexsander1244,"@ferenc_lencses @ZelenskyyUa @vonderleyen 👆👆👆👆👆👆👆👆👆👆👆🚨🚨🚨alarm🚨🚨🚨, here is a Russianbot",,en
2022-11-25 21:46:28+00:00,1596259047401222145,alexsander1244,"@bachranka @ZelenskyyUa @vonderleyen 👆👆🚨🚨🚨alarm🚨🚨🚨, here is a Russian bot https://t.co/kk9S1h7zZl",,en
2022-11-25 21:46:27+00:00,1596259041054842880,lifewatcher2020,@vonderleyen @ZelenskyyUa @EU_Commission Oh give it a fucking rest now. Laundering more money without scrutiny. Pure fraud 🤡🤬💀,,en
2022-11-25 21:46:11+00:00,1596258976416555008,VALDIRANTONIOC1,@gchahal @ZelenskyyUa Zelensky is a Fake president.,,en
2022-11-25 21:46:02+00:00,1596258939124998149,PhilMDaleIre353,@Neil36599459 @ZelenskyyUa Just another Russian Nazi troll dishing out blatant verbal diarrhoea. I presume he is paid for it because if not how pathetic can you get ??,,en
2022-11-25 21:45:55+00:00,1596258908511035392,Gruff_William,"@pacifist75 @karisutra @ZelenskyyUa @vonderleyen Momma bear is spanking baby bear for being a jerk, that's all. She's trying to be gentle. Russia could have turned the lights out months ago but hoped the Ukraine would have come to their senses without that.",,en
2022-11-25 21:45:47+00:00,1596258875044503563,JohnnyBoy_NYC,"@Grimlock1974 @pictureladyjan @Sarahleigh65 @ZelenskyyUa @vonderleyen A Zelensky supporter here though confirmed that they were forcing minority Ukrainian Russian speakers to speak Ukrainian instead of Russian. This is like we are forcing Spanish speakers to speak English in the US. On the contrary, we are learning Spanish.",,en
2022-11-25 21:45:43+00:00,1596258856656859136,alexsander1244,"@DB49604060 @ZelenskyyUa @vonderleyen 🚨🚨🚨alarm🚨🚨🚨, here is a Russian bot https://t.co/zAm0nch7GY",,en
2022-11-25 21:45:25+00:00,1596258781830483969,ZBerdascoOK,@MFA_Ukraine @ZelenskyyUa Good people from all over the world are with Ukraine!!  Strength https://t.co/y5p6qO3fDD,,en
2022-11-25 21:45:16+00:00,1596258745226432512,alexsander1244,"@NazarBakheit @ZelenskyyUa @vonderleyen @SecBlinken 🚨🚨🚨alarm🚨🚨🚨, here is a Russian bot https://t.co/P7TXxXXGWB",,en
2022-11-25 21:45:05+00:00,1596258697730461696,galahgalah,"@Tatarigami_UA Taiwan has many tanks to give to #Ukraine , @ZelenskyyUa  only has to ask",['Ukraine'],en
2022-11-25 21:44:21+00:00,1596258512489050113,AaronJDavies1,"@JamesCleverly @ZelenskyyUa GCHQ intel MUST have highlighted the weakness in Tory government policy in 2012.

YOU gave Putin and the Oligarchs a free pass.

Your inaction has cost the world, the Ukrainians, and almost all UK citizens, dearly. #ToryCorruption #GeneralElectionN0W","['ToryCorruption', 'GeneralElectionN0W']",en
2022-11-25 21:43:50+00:00,1596258382285262848,TiborFuto,"@SirmoloK @vonderleyen @ZelenskyyUa @EU_Commission Unfortunately, comment of the month!",,en
2022-11-25 21:43:47+00:00,1596258371875004417,NathanHurwitz,@IuliiaMendel @ZelenskyyUa Interesting montage,,en
2022-11-25 21:43:39+00:00,1596258339159408641,alexsander1244,@ZelenskyyUa @vonderleyen Stand with Ukraine.🇺🇦🇺🇦🇺🇦 https://t.co/OpV62gasf1,,en
2022-11-25 21:43:38+00:00,1596258333933330433,Chr1st1naMam1ta,@MwauraRobert2 @vonderleyen @ZelenskyyUa @EU_Commission Nope we don't. Good luck at the battlefield 👍🏾,,en
2022-11-25 21:43:18+00:00,1596258250928054272,lisecarey,"@JamesCleverly @ZelenskyyUa Did you talk to him about your other promise to do your utmost to help #freealaa?  We’re still waiting,,",['freealaa'],en
2022-11-25 21:43:06+00:00,1596258197760868352,TiborFuto,"@SuperRaeGun @Flugbugs @vonderleyen @ZelenskyyUa @EU_Commission If they want to defend themselves, defend themselves. NO need for us to support them.",,en
2022-11-25 21:43:00+00:00,1596258174600110080,alexsander1244,"@d_0I0_b @ZelenskyyUa @vonderleyen 🚨🚨🚨alarm🚨🚨🚨, here is a Russian bot https://t.co/Omt9VifZnC",,en
2022-11-25 21:42:51+00:00,1596258137795104770,kitkat195174524,@GlasnostGone @GreyWriter64 @ZelenskyyUa Absolutely! He is rising to the occasion. A lesser man would buckle under the horrendous pressure but he stands strong!,,en
2022-11-25 21:42:50+00:00,1596258130773831681,Jcjulio25,@ZelenskyyUa @vonderleyen More assistance more Cooookeee for Cokelenski!!,,en
2022-11-25 21:42:46+00:00,1596258114851901440,IuliiaMendel,"The bright hearts of Ukrainians are stronger than any darkness!

Thanks to everyone who protects our light! Who overcomes and secures it with their bravery! - @ZelenskyyUa https://t.co/mbCb1q1uzZ",,en
2022-11-25 21:42:37+00:00,1596258079087398912,27Strong1,"@InshoreSlam007 @BoBredenhof @ZelenskyyUa @vonderleyen Agreed. If the Ukrainians are happy with Russia staying in Crimea, all good. But this must ONLY be decided by the Ukrainians and nobody else. Peace must be on the terms the Ukrainians are happy with, nobody else.",,en
2022-11-25 21:42:35+00:00,1596258067834114048,Gruff_William,"@ZelenskyyUa @vonderleyen Correct me if I'm wrong, but isn't zero energy use sustainable from an environmental perspective?
Should thank Russia.",,en
2022-11-25 21:42:02+00:00,1596257931854598146,JimboWimbo77,@edward_baran @JamesCleverly @ZelenskyyUa Yawn 🥱 get a life you doughnut,,en
2022-11-25 21:41:51+00:00,1596257884694011906,Melbcity,@vonderleyen @ZelenskyyUa @EU_Commission Send Generators not weapons.  Votes not bombs. Over 100k Ukrainians killed how many Ukrainians and property destroyed by Ukrainian Militia? https://t.co/6e5uIoc3Wt,,en
2022-11-25 21:41:38+00:00,1596257829555699713,iksweb,Isn’t it time to ‘accidentally’ fire 6-7 drones into the kremlin?? @ZelenskyyUa https://t.co/WznEgmVsXy,,en
2022-11-25 21:41:38+00:00,1596257829224062978,PhilMDaleIre353,"@MikeyB_Good @ZelenskyyUa Putin and his mass murdering, torturing, rapist, depraved soldiers, are doing, daily, exactly what the worst of the Nazis. If it walks like one and talks like one it is one. Putin has become a Nazi leader. It didn't work out well for the last one. He will be next.",,en
2022-11-25 21:41:20+00:00,1596257756587393024,Billybo46492358,"@vonderleyen @ZelenskyyUa @EU_Commission This is Ukr justice!That's what they want!And they want to be welcome in the EU!And you throw away our money from fees and taxes for them while we are poor!You don't deserve the huge salary we pay you!We europeans pay you and you ONLY work forUkraine,when you are not for Pfhizer. https://t.co/Unr5exUg4z",,en
2022-11-25 21:41:12+00:00,1596257722663673856,alexsander1244,"@Sarahleigh65 @ZelenskyyUa @vonderleyen 👆👆🚨🚨🚨alarm🚨🚨🚨🚨, here is a Russianbot",,en
2022-11-25 21:40:41+00:00,1596257592493240320,BrexitMapman,"@JamesCleverly @ZelenskyyUa James, YOU are not the UK. Your govt has no mandate. You are an illigitimate govt with a leader who has been appointed  not voted for, not even by your party's own members. You have no right to fight a proxy war with Russia using Ukrainian lives and our taxes. #STOPtheWAR",['STOPtheWAR'],en
2022-11-25 21:40:39+00:00,1596257584251404288,colinedwardvoss,@JamesCleverly @ZelenskyyUa James     due to UK gov sanctions against Putin/Russia you have penalised UK/British shareholders  can you promise to help us  simple remedy would be sanction monies gathered would be used to compensate UK/British shareholders who were affected by UK gov actions,,en
2022-11-25 21:40:29+00:00,1596257540522004480,alexsander1244,"@karisutra @ZelenskyyUa @vonderleyen 🚨🚨🚨🚨alarm🚨🚨🚨, here is a Russian bot",,en
2022-11-25 21:40:07+00:00,1596257450495475713,Floodedgum86,@vonderleyen @ZelenskyyUa @EU_Commission Globalist filth,,en
2022-11-25 21:39:50+00:00,1596257377501999104,DMK14,@JamesCleverly @ZelenskyyUa Stay out of it. Nothing to do with us. If you do get involved get them to sign a peace deal asap.,,en
2022-11-25 21:39:49+00:00,1596257374699929603,KlaasPompstra,"@ZelenskyyUa @vonderleyen Great job mr. President! #Ukraine is flowing through your veins!
@NATO @POTUS @EUCouncil And what about the stolen children of #Ukraine? Please  help #Ukraine free them!
#UkraineStolenChildren","['Ukraine', 'Ukraine', 'Ukraine', 'UkraineStolenChildren']",en
2022-11-25 21:39:45+00:00,1596257355800485890,TiborFuto,"@MwauraRobert2 @vonderleyen @ZelenskyyUa @EU_Commission With that name, and that title text, you are clearly from Africa. The EU does NOT stand with Ukraine. The EP does only.",,en
2022-11-25 21:39:41+00:00,1596257339652259840,KarlibayBEKMUR2,"#Karakalpakstan needs the help of UN, OSCE and democratic countries!  #Putin's student #Mirziyoev started killing people en masse.  Karakalpakstan supports #Democracy.
@POTUS @ZelenskyyUa @EmmanuelMacron @EEDemocracy @TerhiHakala @JosepBorrellF #PersonalSanctions for #Mirziyoyev https://t.co/2e0sNCNAhw","['Karakalpakstan', 'Putin', 'Mirziyoev', 'Democracy', 'PersonalSanctions', 'Mirziyoyev']",en
2022-11-25 21:39:37+00:00,1596257321810034688,just_call_me_DK,"@JamesCleverly @ZelenskyyUa You're supporting them with my money. Meanwhile, my country is going to the dogs. You're all tossers. I voted Tory. Guess how much I hate you now.",,en
2022-11-25 21:39:36+00:00,1596257318726934531,llccar1,@ZelenskyyUa @vonderleyen GREAT president! Ukraine will win! https://t.co/29oyNuCypD,,en
2022-11-25 21:39:26+00:00,1596257278461587457,robbo391,"@JamesCleverly @ZelenskyyUa It’ll be the only bloody promise you’ve ever kept, if you do!",,en
2022-11-25 21:39:15+00:00,1596257229388517376,ChrisHowell5,@ratnapelle @Flugbugs @spendg8 @vonderleyen @ZelenskyyUa @EU_Commission 😂😂😂😂. There’s a reason it wasn’t a nato member and is on the USA State Dept. website saying as much!!,,en
2022-11-25 21:38:42+00:00,1596257092326764544,drreeds,"@vonderleyen @ZelenskyyUa @EU_Commission ""including with partners""?  It appears madame, that you misunderstand your role. You do not have partners. Each and every EU country is your boss. And you can only make commitments that have been approved by them.",,en
2022-11-25 21:38:33+00:00,1596257054054023168,Grimlock1974,"@barbarahilda @pictureladyjan @Sarahleigh65 @ZelenskyyUa @vonderleyen And if Ukraine falls, we would be spending that money lining the borders on NATO. The money we spent set Russia back by decades. By the time this war is done, Putin's military will have to be completely rebuilt with no access to modern chips.",,en
2022-11-25 21:37:57+00:00,1596256903700439041,beltrami_fulvio,@vonderleyen @ZelenskyyUa @EU_Commission Still spendig Pfizer money?,,en
2022-11-25 21:37:52+00:00,1596256881999507456,TiborFuto,"@vonderleyen @ZelenskyyUa @EU_Commission Every day another ad poster about how @vonderleyen is not working IN the EU, FOR the EU citizens, just doing the usual https://t.co/41sqdOhsTq every day for Zelensky.

Where are the Pfizer SMS-es, you corrupt, unelected useless cr.p? #resign",['resign'],en
2022-11-25 21:37:20+00:00,1596256747517247493,Biagiosaiano,"@vonderleyen @ZelenskyyUa @EU_Commission Did you called him, not SMS?
And please don't talk in nome of EU, but part of, because you don't talk in my name: i disappoint every your decision. Thanks.",,en
2022-11-25 21:36:18+00:00,1596256487625695233,JonoFrom,@TarasDudykevych @OlenaHalushka @OlafScholz @ABaerbock @ZelenskyyUa Maybe they moved on from them values https://t.co/zo9eKknH3J,,en
2022-11-25 21:35:56+00:00,1596256395686727681,HelenWilletts5,@JamesCleverly @ZelenskyyUa You don't speak for me,,en
2022-11-25 21:35:43+00:00,1596256343001661441,HenkeChristian,@Syofian_Kuroda @NATO @ZelenskyyUa ....says a Neanderthal from Yemen ....then it must be true.....hahahaha,,en
2022-11-25 21:35:18+00:00,1596256237997686784,NedPamphilon,"@JamesCleverly @ZelenskyyUa So, @JamesCleverly is the latest to pledge UK tax funds to Ukraine Azov Nazis.
We didn't vote for this, neocon war monger James.",,en
2022-11-25 21:35:18+00:00,1596256234780655616,RZygocki,@ZelenskyyUa @vonderleyen liar and beggar,,en
2022-11-25 21:34:56+00:00,1596256143177056256,What99617249,@ZelenskyyUa @vonderleyen Shut up you dwarf!,,en
2022-11-25 21:34:52+00:00,1596256125711974400,SushiKeith1,@ZelenskyyUa @vonderleyen Lots of deals going on right during a vicious war eh you scumbag politician.,,en
2022-11-25 21:34:49+00:00,1596256114743472128,ChrisHowell5,@widodh @vonderleyen @EU_Commission @ZelenskyyUa You’re right…Nazis are barbaric and must be dealt with!! Russia WINNING. The wests lies make no difference!!!,,en
2022-11-25 21:34:29+00:00,1596256031470129152,GSqueri,".@GlasnostGone:
Please join me in paying tribute to President Zelensky
@ZelenskyyUa. It's nine, long, bloody months since #Russia's full-scale #invasion of #Ukraine-and yet he endures the pressure of responsiblity most of us would buckle under. He's a #hero and #rolemodel.
#War https://t.co/tw8znbKmhd","['Russia', 'invasion', 'Ukraine', 'hero', 'rolemodel', 'War']",en
2022-11-25 21:34:28+00:00,1596256025015103488,Pioter66465058,@ZelenskyyUa @vonderleyen A stray ukrainian rocket killed 2 Poles and you didn't even make a simple apology,,en
2022-11-25 21:33:57+00:00,1596255898389073921,ChrissieGrech,"@JamesCleverly @ZelenskyyUa Can't you see you're just being used, President @ZelenskyyUa? Is The #UKgov still accepting Russian oligarch funds?",['UKgov'],en
2022-11-25 21:33:52+00:00,1596255877035597828,Billybo46492358,@39Alun @vonderleyen @ZelenskyyUa @EU_Commission EXACTLY!!!👏👏👏👏,,en
2022-11-25 21:33:41+00:00,1596255830638297089,WarwickHunt4,@GrandadofOscar @JamesCleverly @ZelenskyyUa Or even with words. 🙄,,en
2022-11-25 21:33:39+00:00,1596255823210184705,FinTelegram,"Looking closely, @ZelenskyyUa and @SBF_FTX are the very same result of MSM narratives. And they even cooperated to support the proxy war against Russia. They are not real, but they cause real damage to people and society!",,en
2022-11-25 21:33:10+00:00,1596255700363235328,nate_SE3,@JamesCleverly @ZelenskyyUa But no cash for midwives and nurses… https://t.co/am1g7dDzbe,,en
2022-11-25 21:32:57+00:00,1596255645736767489,PhilMDaleIre353,"@ZelenskyyUa @vonderleyen Russian oil needs to stop following to the countries profiteering from it. But it also needs to stop flowing to the Russian Federation itself. They take out power in Ukraine, time to take out Russian power too and make Russians understand the price of their cowering complicity.",,en
2022-11-25 21:32:56+00:00,1596255641693466624,Billybo46492358,@vonderleyen @ZelenskyyUa @EU_Commission I see you don't care about the European citizens who are continuously impoverished because of this war THAT IS NOT OURS!  You are in charge of the EU to take care of EU citizens but you don't care about them!  Throw your money away!  Zelensky is a Nazi clown.,,en
2022-11-25 21:32:51+00:00,1596255621946363904,veaw49,"@vonderleyen @ZelenskyyUa @EU_Commission What about Afghanistan, Syria and other places that need your help. Ukraine is just one fight in the world but don't forget the others in the process, Leader of Europe.",,en
2022-11-25 21:32:50+00:00,1596255616993038338,bykerboyo,"@ZelenskyyUa @vonderleyen Ukraine can never win - at best, linger in survival mode for ever, at ever larger &amp; larger cost.  The ongoing misery in Ukraine, will eventually topple Zelensky. Even Churchill, in victory, was toppled.",,en
