Datetime,Tweet Id,Text,Username
2022-10-19 22:20:09+00:00,1582859173825753089,@MichalSzczerba @warszawa 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,Elbieta40910230
2022-10-19 22:16:35+00:00,1582858273652252674,"AutoTweet: Wyniki (meteogramy) modelu #DWD #MOSMIX dla stacji Warszawa, Białystok, Lublin, Śnieżka - UWAGA, DANE POBIERANE Z SERWERA DWD, NAZWY STACJI MOGĄ BYĆ NIEMIECKIE! [test] https://t.co/xhjqow6sFb #pogoda #Polska https://t.co/7dBSXrZ7av",PogodaMeteo
2022-10-19 22:15:20+00:00,1582857961281839104,"@LukasPawlowski @LokalnaPolityka @warszawa @BiuroPrasoweKce @gdansk @UAM_Poznan @wroclaw_info Super, chciałbym zapoznać się z wynikami całości, ale niestety strona wymaga zalogowania 😬",Mrhahaofficial
2022-10-19 22:10:27+00:00,1582856730740150278,@MichalSzczerba @warszawa @trzaskowski_ @GazetaStoleczna @tvnwarszawa @PORP_Warszawa @1944pl @muzeumwarszawy @EDGrupinska @BurmistrzHac @budziszewski_ Lansik co nie?,Brannik2
2022-10-19 22:05:34+00:00,1582855503658766337,"Marketing Supervisor in
 
 Warszawa,

 Poland
https://t.co/2FkCl7Vnv1",VacanciesinUkr1
2022-10-19 22:04:15+00:00,1582855170085380096,"@jarek_osowski @warszawa Czekamy na autostradę. Nawet po 30 godzinach docieramy do celu. To jest najważniejsze, prawda? 💪 Proponuję zamontować liczniki na rowerach i na butach biegaczy, dzięki czemu będziemy czuli się bezpieczniej.",MinSPIS
2022-10-19 22:03:32+00:00,1582854990061662208,"#Pruszków #Warszawa 

Kto ukrywa #dochód #gang-ów? 

A może #inflacja? 

@PolskaPolicja 
@PolicjaSlaska 
@PolicjaLubelska 
@PolicjaWlkp 
@DPolicja 
@podlaskaPolicja 
@Policja_KSP 
@Rz_Policja 

#wieszwięcej #wtylewizji #włączfakty  

https://t.co/oxCBBM68jH",E_4_Jupiter
2022-10-19 22:01:21+00:00,1582854441040236550,Właśnie publikuje zdjęcie w: Pałac Kultury i Nauki Warszawa https://t.co/LGTjlhP1l3,bmbdron
2022-10-19 22:00:01+00:00,1582854105936297984,DOZLOENIE nienaiwdze tych tiktokow 💫warszawa aesthetic💫 i wtedy pokazuja jakies ladne i czyste miejsca w wawie ktorych jesy malo xddd pokazcie jak stolica smierdzi zabetonowali miejsca gdzie bylo troche zieleni wszedzie korki n da sie przejsc przez patelnie zeby ktos n zaczepil,zackdodomu
2022-10-19 21:56:40+00:00,1582853262788947970,@jarek_osowski @warszawa Pan Prezydent w formie,Marcin_Zareba80
